namespace,key,en,original_zh,current_zh,reason,reason_en
tracker,company.perks.perkOverview,Perk Overview,Perk概览,专长概览,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
tracker,company.perks.noPerks,No prestige perks allocated.,未分配Prestige Perk。,未分配声望专长。,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
tracker,company.history.prestigeValueHistory,Prestige & Value History,Prestige与价值历史,声望与价值历史,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,company.history.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,company.sharing.features.company_perks,Prestige Perks,Prestige Perks,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
tracker,guild.overview.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,guild.members.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,guild.history.series.guildPrestige,Guild Prestige,公会Prestige,公会声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,guild.history.series.memberPrestige,Member Prestige,成员Prestige,成员声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,guild.planets.columns.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
tracker,guild.planets.columns.guildRank,Guild Rank,公会排名,公会职级,翻译优化,Translation improvement
tracker,guild.planets.columns.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
tracker,guild.production.columns.used,Used/day,消耗/天,每日消耗,翻译优化,Translation improvement
tracker,guild.production.columns.produced,Prod/day,产出/天,每日产出,翻译优化,Translation improvement
tracker,guild.production.columns.net,Net/day,净/天,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
tracker,guild.production.columns.value,Value/day,价值/天,每日价值,翻译优化,Translation improvement
tracker,exchange.columns.salesPct,Sales %,销量 %,销量%,翻译优化,Translation improvement
ui,unavailable.features.company_perks,Prestige perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
wishlist,columns.material.tooltip,Material required for this step. Stars are shown in brackets and are not exported.,此步骤所需的材料。星级显示在括号中，不会导出。,此步骤所需的材料。星币数量显示在括号中，不会导出。,翻译优化,Translation improvement
wishlist,preview.hqSectionTitle,HQ costs (Wishlist: HQ upgrade),HQ成本（心愿单：HQ升级）,总部成本（心愿单：总部升级）,公会项目翻译,Guild project translated
wishlist,footer.sectionSupplemental,Consumables / inputs / intermediates,消耗品 / 输入 / 中间产品,消耗品/输入/中间产品,斜杠空格移除,Slash space removal
base,baseList.nav.more,More ...,更多 ...,更多...,同步补录
base,baseList.entry.onVacation,"On vacation. Production paused, no consumables used",休假中。生产暂停，不消耗消耗品,休假中。生产暂停，不使用消耗品,同步补录
base,buildings.slot.buyableWithStars,Buyable with stars,可用星星购买,可用星币购买,同步补录
base,buildings.legend.stripedSlot,Striped slot = locked (terraform or stars),条纹槽位 = 已锁定（地形改造或星星）,条纹槽位 = 已锁定（地形改造或星币）,同步补录
base,controls.planetHeader.fertility,Fertility,肥沃度,肥沃度,同步补录
base,modals.newPlan.starter.hint,"(12 free terraform slots, 3 star slots)",（12个免费地形改造槽位，3个星星槽位）,（12个免费地形改造槽位，3个星币槽位）,同步补录
base,page.warnings.startingSettlement.body,Construction costs assume 12 free terraform slots and 3 star slots (the starting base layout). Toggle this in Settings if the starting base has been demolished.,建造成本假设有12个免费地形改造槽位和3个星星槽位（初始基地布局）。如果初始基地已被拆除，可在设置中切换此项。,建造成本假设有12个免费地形改造槽位和3个星币槽位（初始基地布局）。如果初始基地已被拆除，可在设置中切换此项。,同步补录
base,page.warnings.starterPlan.body,Slots 1-12 free; star slots 23-25.,槽位1-12免费；星星槽位23-25。,槽位1-12免费；星币槽位23-25。,同步补录
galaxy,page.hover.fertility,Fertility,肥沃度,肥沃度,同步补录
galaxy,planetDetails.info.fertility,Fertility,肥沃度,肥沃度,同步补录
galaxy,table.column.fertility,Fertility,肥沃度,肥沃度,同步补录
galaxy,filters.resource.fertility,Fertility,肥沃度,肥沃度,同步补录
galaxy,lens.option.fertility,Fertility,肥沃度,肥沃度,同步补录
galaxy,share.lens.fertility,Fertility,肥沃度,肥沃度,同步补录
guild,donationLeaderboard.projects.flight,Flight,Flight,飞行,同步补录
guild,chains.edgeTree.contractTable.priceHeader,$/u,$/u,$/单位,同步补录
guild,chains.inspector.perUnitPrice,{{price}}/u,{{price}}/u,{{price}}/单位,同步补录
market,page.columnOptions.playerListed,Player Listed,玩家挂单,玩家挂单数,同步补录
profitability,filters.displayMode.profitMargin,Profit margin %,利润率 %,利润率%,同步补录
profitability,filters.displayMode.weightIncrease,Weight change %,重量变化 %,重量变化%,同步补录
profitability,dataManagement.share.options.research.onHint,Your effective research levels are baked in.,当前的有效研究等级已固化在链接中。,当前的有效研究等级已内置在链接中。,同步补录
profitability,dataManagement.share.options.perks.label,Prestige perks,Prestige Perk,声望专长,同步补录
profitability,dataManagement.share.options.perks.onHint,Your prestige perk levels are baked in.,当前的Prestige Perk等级已固化在链接中。,当前的声望专长等级已内置在链接中。,同步补录
profitability,dataManagement.share.options.startingBonus.onHint,Your starting speed bonus is baked in.,当前的起始速度加成已固化在链接中。,当前的起始速度加成已内置在链接中。,同步补录
ships,shipSelection.tooltip,Choose a ship or blueprint to load a base layout.,选择飞船或Blueprint以加载基础布局。,选择飞船或Blueprint以加载基地布局。,同步补录
ships,results.costTimePerTon,Cost-Time per ton,每吨成本时间,每吨成本-时间,同步补录
ships,travelEstimates.columns.dist,Dist,Dist,距离,同步补录
ships,search.optimize.costTimePerCargo,Cost-Time per cargo,每货物成本时间,每单位货物成本-时间,同步补录
ships,search.metrics.costTimePerCargo,Cost-Time per cargo,每货物成本时间,每单位货物成本-时间,同步补录
tracker,company.sharing.scope.private,private,私密,私有,同步补录
tracker,company.sharing.status.noCompanion,no companion,未使用Companion,未使用GT Companion,同步补录
